GMT	Lokální čas	RTISZDef.Prefix	RTISZDef.Suffix	KOTEL_SkupRiz	KOTEL_Pdg	KOTEL_Pdgnt	KOTEL_RRPR	KOTEL_RRSR	KOTEL_RRSRP	KOTEL_RRSRM	KOTEL_CmaxDO	KOTEL_CmaxNorm	KOTEL_nP	KOTEL_SRVreq	KOTEL_SRUreq	KOTEL_Pjm	KOTEL_Pmaxtech	KOTEL_Pmintech	KOTEL_Cmaxtech	KOTEL_CostA	KOTEL_CostB	KOTEL_CostC	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_vsA	KOTEL_vsB	KOTEL_PdgMin1	KOTEL_PdgMin2	KOTEL_PdgMin3	KOTEL_PdgMin4	KOTEL_PdgMin5	KOTEL_PdgMin6	KOTEL_PdgMin7	KOTEL_PdgMax1	KOTEL_PdgMax2	KOTEL_PdgMax3	KOTEL_PdgMax4	KOTEL_PdgMax5	KOTEL_PdgMax6	KOTEL_PdgMax7	KOTEL_TORPnt	KOTEL_TORMnt	KOTEL_PmaxtechPR	KOTEL_PmintechPR	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_BsSE	KOTEL_BsPpS	KOTEL_TGinfo	KOTEL_RZMZ5P	KOTEL_AMZ5P	KOTEL_NMZ5P	KOTEL_RZMZ15P	KOTEL_RZMZ15M	KOTEL_PlynDG	KOTEL_PlynMax24	KOTEL_PlynMax	KOTEL_Pminabs	KOTEL_Pmaxabs	KOTEL_RZRRPP1c	KOTEL_RZRRPP2c	KOTEL_RZRRPP3c	KOTEL_RZRRPP4c	KOTEL_RZRRPM1c	KOTEL_RZRRPM2c	KOTEL_RZRRPM3c	KOTEL_RZRRPM4c	KOTEL_PNZ	KOTEL_RRPR1r	KOTEL_RRPR2r	KOTEL_RRPR3r	KOTEL_RRPR4r	KOTEL_RRPR5r	KOTEL_RRPR6r
21.10.2021 13:00	21.10.2021 15:00	EVD	fb	2	18	14	0	0	0	0	14	14	0	1	0	89	54	10	150	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	10	0	0	0	1	1	407	0	0	0	0	0	0	0	0	10	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EME	9	2	95	84	0	0	0	0	0	2	0	0	1	110	95	95	2	1	1 364	8 167	1	1 488	12 401	0	3	95	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	95	95	1	1 488	12 401	4	4	0	0	0	0	0	0	0	0	0	55	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	EME	11	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1 775	0	0	1 888	15 105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1 888	15 105	4	4	0	0	0	0	0	0	0	0	0	300	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	EPO	fa	1	0	0	0	0	0	0	2	0	0	0	0	30	0	-30	6	0	0	0	0	0	0	0	0	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30	0	0	0	1	1	8	0	0	0	0	-30	0	0	0	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	EME	10	2	0	-1	0	0	0	0	0	2	0	0	0	110	0	0	2	5	709	42 620	6	801	44 860	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	801	44 860	4	4	0	0	0	0	0	0	0	0	0	55	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	ETE	1	2	1 088	1 036	0	0	0	0	0	5	0	0	1	1 088	1 088	1 088	5	0	121	21 312	0	121	27 787	0	52	1 088	0	0	0	0	0	0	1 088	0	0	0	0	0	0	0	0	1 088	1 088	0	121	27 787	1	1	0	0	0	0	0	0	0	0	0	200	1 125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	ETE	2	2	1 094	1 042	0	0	0	0	0	5	0	0	1	1 094	1 094	1 094	5	0	106	18 386	0	106	24 038	0	52	1 094	0	0	0	0	0	0	1 094	0	0	0	0	0	0	0	0	1 094	1 094	0	106	24 038	1	1	0	0	0	0	0	0	0	0	0	200	1 125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	EPR2	23	1	212	192	9	0	0	-32	3	3	0	1	1	250	230	125	5	2	478	89 495	2	537	93 216	0	7	212	0	0	0	0	0	0	221	0	0	0	0	0	0	8	0	221	134	2	537	93 216	1	1	0	0	0	0	0	-38	0	0	0	125	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	EPR2	24	1	204	185	0	0	24	0	2	3	0	1	1	250	228	125	5	1	850	74 937	1	918	81 421	0	7	180	125	0	0	0	0	0	204	171	0	0	0	0	0	0	74	218	135	1	918	81 421	1	1	0	0	0	0	0	0	0	0	0	125	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 14:00	21.10.2021 16:00	EPR2	25	1	186	168	0	0	11	0	2	3	0	1	1	250	213	125	5	1	850	74 937	1	918	81 421	0	7	125	0	0	0	0	0	0	186	0	0	0	0	0	0	0	57	203	135	1	918	81 421	1	1	0	0	0	0	16	0	0	0	0	125	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
